what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839571125
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839571215
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839571773
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839573762
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839574401
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839575128
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839599718
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839617465
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839635390
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839669183
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839673686
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839711321
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839714645
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839715277
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1602839716794
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839806471
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839825114
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1602839828993
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839837215
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839840642
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839840665
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602839844560
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1602839850803
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1602839853870
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1602839860339
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840001161
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840002633
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1602840003980
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840006702
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840007374
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840017201
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840018608
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1602840114132
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1602840117139
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1602840119307
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1602840125837
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1602840128036
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840134097
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840137654
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840164252
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840166200
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840173469
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840175597
executed,command,,,"com.altera.sbtgui.launch.hardware.Nios2HardwareLaunchShortcut.run",1602840176904
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1602840181759
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1602840184883
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1602840191029
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1602840285495
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1602840316868
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1602840318089
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840319214
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840321486
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840325218
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840326569
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840326719
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840327395
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840328568
started,bundle,org.eclipse.cdt.mylyn.ui,1.1.3.v20100909-0100-e3x,"org.eclipse.cdt.mylyn.ui",1602840328638
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1602840328834
stopped,bundle,org.eclipse.cdt.debug.mi.ui,6.1.0.201009141542,"org.eclipse.cdt.debug.mi.ui",1602840328939
stopped,bundle,com.altera.debug.cdi.gdb.plugin,11.0.0.208,"com.altera.debug.cdi.gdb.plugin",1602840328939
stopped,bundle,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch",1602840328939
stopped,bundle,org.eclipse.cdt.debug.mi.core,7.0.1.201009141542,"org.eclipse.cdt.debug.mi.core",1602840328980
stopped,bundle,org.eclipse.cdt.debug.ui.memory.memorybrowser,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.memorybrowser",1602840328981
stopped,bundle,org.eclipse.cdt.debug.ui.memory.search,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.search",1602840328981
stopped,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1602840328981
stopped,bundle,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.ui",1602840328982
stopped,bundle,org.eclipse.cdt.gdb.ui,7.0.0.201009141542,"org.eclipse.cdt.gdb.ui",1602840328982
stopped,bundle,org.eclipse.cdt.dsf.gdb,3.0.0.201009141542,"org.eclipse.cdt.dsf.gdb",1602840328982
stopped,bundle,com.altera.sbtgui.ui,11.0.0.208,"com.altera.sbtgui.ui",1602840328988
stopped,bundle,com.altera.sbtgui.project,11.0.0.208,"com.altera.sbtgui.project",1602840328988
stopped,bundle,org.eclipse.cdt.launch,6.1.0.201009141542,"org.eclipse.cdt.launch",1602840328988
stopped,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1602840328988
stopped,bundle,org.eclipse.cdt.debug.ui.memory.traditional,1.2.0.201009141542,"org.eclipse.cdt.debug.ui.memory.traditional",1602840328989
stopped,bundle,org.eclipse.cdt.dsf,2.1.0.201009141542,"org.eclipse.cdt.dsf",1602840328989
stopped,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1602840328989
activated,perspective,,,"<Nios_II>",1606475120736
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1606475120737
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1606475120739
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1606475120740
